action_type,combined_shot_type,game_id,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,game_date,matchup,opponent
Jump Shot,Jump Shot,20000012,10,1,0,Jan-00,27,18,0,2PT Field Goal,Right Side(R),Mid-Range,2000/10/31,LAL @ POR,POR
Jump Shot,Jump Shot,20000012,10,1,0,Jan-00,22,15,0,2PT Field Goal,Left Side(L),Mid-Range,2000/10/31,LAL @ POR,POR
Jump Shot,Jump Shot,20000012,7,1,0,Jan-00,45,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/10/31,LAL @ POR,POR
Jump Shot,Jump Shot,20000012,6,1,0,Jan-00,52,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/10/31,LAL @ POR,POR
Driving Dunk Shot,Dunk,20000012,6,2,0,Jan-00,19,0,0,2PT Field Goal,Center(C),Restricted Area,2000/10/31,LAL @ POR,POR
Jump Shot,Jump Shot,20000012,9,3,0,Jan-00,32,14,0,2PT Field Goal,Left Side(L),Mid-Range,2000/10/31,LAL @ POR,POR
Layup Shot,Layup,20000012,8,3,0,Jan-00,52,0,0,2PT Field Goal,Center(C),Restricted Area,2000/10/31,LAL @ POR,POR
Jump Shot,Jump Shot,20000012,8,3,0,Jan-00,5,2,0,2PT Field Goal,Center(C),Restricted Area,2000/10/31,LAL @ POR,POR
Jump Shot,Jump Shot,20000012,6,3,0,Jan-00,12,12,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),2000/10/31,LAL @ POR,POR
Running Jump Shot,Jump Shot,20000012,3,3,0,Jan-00,36,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/10/31,LAL @ POR,POR
Jump Shot,Jump Shot,20000012,1,3,0,Jan-00,56,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2000/10/31,LAL @ POR,POR
Jump Shot,Jump Shot,20000019,11,1,0,Jan-00,0,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,20000019,7,1,0,Jan-00,9,12,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,2,1,0,Jan-00,44,9,1,2PT Field Goal,Left Side(L),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,1,1,0,Jan-00,16,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,0,1,0,Jan-00,48,20,0,2PT Field Goal,Center(C),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Driving Layup Shot,Layup,20000019,0,1,0,Jan-00,1,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,8,2,0,Jan-00,50,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,11,3,0,Jan-00,29,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Driving Layup Shot,Layup,20000019,10,3,0,Jan-00,46,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,10,3,0,Jan-00,8,14,0,2PT Field Goal,Center(C),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,9,3,0,Jan-00,4,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,20000019,7,3,0,Jan-00,57,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/1,LAL vs. UTA,UTA
